province,U_R,COICOP,Products,Weight,Date,CPI,Source
0,0,0,GENERAL INDEX (CPI),10000,9/1/2014,103.133417,rwanda
0,0,0,GENERAL INDEX (CPI),10000,10/1/2014,102.8358505,rwanda
0,0,0,GENERAL INDEX (CPI),10000,11/1/2014,101.4276407,rwanda
0,0,0,GENERAL INDEX (CPI),10000,12/1/2014,100.1203597,rwanda
0,0,0,GENERAL INDEX (CPI),10000,1/1/2015,99.14315381,rwanda
0,0,0,GENERAL INDEX (CPI),10000,2/1/2015,100.218264,rwanda
0,0,0,GENERAL INDEX (CPI),10000,3/1/2015,102.0737446,rwanda
0,0,0,GENERAL INDEX (CPI),10000,4/1/2015,104.1530479,rwanda
0,0,0,GENERAL INDEX (CPI),10000,5/1/2015,104.2198717,rwanda
0,0,0,GENERAL INDEX (CPI),10000,6/1/2015,103.4306256,rwanda
0,0,0,GENERAL INDEX (CPI),10000,7/1/2015,103.2858975,rwanda
0,0,0,GENERAL INDEX (CPI),10000,8/1/2015,105.0420808,rwanda
0,0,0,GENERAL INDEX (CPI),10000,9/1/2015,106.8834328,rwanda
0,0,0,GENERAL INDEX (CPI),10000,10/1/2015,108.449516,rwanda
0,0,0,GENERAL INDEX (CPI),10000,11/1/2015,109.0400884,rwanda
0,0,0,GENERAL INDEX (CPI),10000,12/1/2015,106.9119163,rwanda
0,0,0,GENERAL INDEX (CPI),10000,1/1/2016,105.6657557,rwanda
0,0,0,GENERAL INDEX (CPI),10000,2/1/2016,106.3695336,rwanda
0,0,0,GENERAL INDEX (CPI),10000,3/1/2016,108.0368077,rwanda
0,0,0,GENERAL INDEX (CPI),10000,4/1/2016,108.7730102,rwanda
0,0,0,GENERAL INDEX (CPI),10000,5/1/2016,108.7898473,rwanda
0,0,0,GENERAL INDEX (CPI),10000,6/1/2016,109.9091743,rwanda
0,0,0,GENERAL INDEX (CPI),10000,7/1/2016,111.3436418,rwanda
0,0,0,GENERAL INDEX (CPI),10000,8/1/2016,112.9188215,rwanda
0,0,0,GENERAL INDEX (CPI),10000,9/1/2016,114.8297144,rwanda
0,0,0,GENERAL INDEX (CPI),10000,10/1/2016,118.3652687,rwanda
0,0,0,GENERAL INDEX (CPI),10000,11/1/2016,119.0123721,rwanda
0,0,0,GENERAL INDEX (CPI),10000,12/1/2016,118.7215661,rwanda
0,0,0,GENERAL INDEX (CPI),10000,1/1/2017,118.3450274,rwanda
0,0,0,GENERAL INDEX (CPI),10000,2/1/2017,120.5953699,rwanda
0,0,0,GENERAL INDEX (CPI),10000,3/1/2017,122.0397626,rwanda
0,0,0,GENERAL INDEX (CPI),10000,4/1/2017,122.7789584,rwanda
0,0,0,GENERAL INDEX (CPI),10000,5/1/2017,121.539273,rwanda
0,0,0,GENERAL INDEX (CPI),10000,6/1/2017,120.2730477,rwanda
0,0,0,GENERAL INDEX (CPI),10000,7/1/2017,120.313456,rwanda
0,0,0,GENERAL INDEX (CPI),10000,8/1/2017,121.0730075,rwanda
0,0,0,GENERAL INDEX (CPI),10000,9/1/2017,122.9273614,rwanda
0,0,0,GENERAL INDEX (CPI),10000,10/1/2017,124.616326,rwanda
0,0,0,GENERAL INDEX (CPI),10000,11/1/2017,120.8797542,rwanda
0,0,0,GENERAL INDEX (CPI),10000,12/1/2017,118.5264494,rwanda
0,0,0,GENERAL INDEX (CPI),10000,1/1/2018,118.4692346,rwanda
0,0,0,GENERAL INDEX (CPI),10000,2/1/2018,119.0685675,rwanda
0,0,0,GENERAL INDEX (CPI),10000,3/1/2018,120.3353632,rwanda
0,0,0,GENERAL INDEX (CPI),10000,4/10/2018,122.6176542,rwanda
0,0,0,GENERAL INDEX (CPI),10000,5/10/2018,123.7121928,rwanda
0,0,0,GENERAL INDEX (CPI),10000,6/10/2018,122.0128165,rwanda
0,0,0,GENERAL INDEX (CPI),10000,7/10/2018,121.0944417,rwanda
0,0,0,GENERAL INDEX (CPI),10000,8/10/2018,121.7420661,rwanda
0,0,0,GENERAL INDEX (CPI),10000,9/10/2018,121.6086917,rwanda
0,0,0,GENERAL INDEX (CPI),10000,10/10/2018,120.3427916,rwanda
0,0,0,GENERAL INDEX (CPI),10000,11/10/2018,119.6971663,rwanda
0,0,0,GENERAL INDEX (CPI),10000,12/10/2018,118.6820984,rwanda
0,0,0,GENERAL INDEX (CPI),10000,1/10/2019,118.6815154,rwanda
0,0,0,GENERAL INDEX (CPI),10000,2/10/2019,118.5480601,rwanda
0,0,0,GENERAL INDEX (CPI),10000,3/10/2019,121.1585446,rwanda
0,0,0,GENERAL INDEX (CPI),10000,4/10/2019,122.1895435,rwanda
0,0,0,GENERAL INDEX (CPI),10000,5/10/2019,123.2136492,rwanda
0,0,0,GENERAL INDEX (CPI),10000,6/10/2019,123.1167949,rwanda
0,0,0,GENERAL INDEX (CPI),10000,7/10/2019,122.9786439,rwanda
0,0,0,GENERAL INDEX (CPI),10000,8/10/2019,125.16728,rwanda
0,0,0,GENERAL INDEX (CPI),10000,9/10/2019,127.2292608,rwanda
0,0,0,GENERAL INDEX (CPI),10000,10/10/2019,128.948236,rwanda
0,0,0,GENERAL INDEX (CPI),10000,11/10/2019,133.8587289,rwanda
0,0,0,GENERAL INDEX (CPI),10000,12/10/2019,132.8163836,rwanda
0,0,0,GENERAL INDEX (CPI),10000,1/10/2020,132.2878222,rwanda
0,0,0,GENERAL INDEX (CPI),10000,2/10/2020,134.5157948,rwanda
0,0,0,GENERAL INDEX (CPI),10000,3/10/2020,137.0439921,rwanda
0,0,0,GENERAL INDEX (CPI),10000,4/10/2020,134.5373114,rwanda
0,0,0,GENERAL INDEX (CPI),10000,5/10/2020,135.4478817,rwanda
0,0,0,GENERAL INDEX (CPI),10000,6/10/2020,135.7760527,rwanda
0,0,0,GENERAL INDEX (CPI),10000,7/10/2020,137.1567557,rwanda
0,0,0,GENERAL INDEX (CPI),10000,8/10/2020,138.7940091,rwanda
0,0,0,GENERAL INDEX (CPI),10000,9/10/2020,140.9937013,rwanda
0,0,0,GENERAL INDEX (CPI),10000,10/10/2020,141.0027239,rwanda
0,0,0,GENERAL INDEX (CPI),10000,11/10/2020,139.8589915,rwanda
0,0,0,GENERAL INDEX (CPI),10000,12/10/2020,138.0413858,rwanda
0,0,0,GENERAL INDEX (CPI),10000,1/10/2021,136.9005086,rwanda
